,review_title,review_body,bubble_rating,_id
10,Themed restaurant,"This restaurant is quite out of the way if you don't drive. But if you drive, the car park is just 2 mins walk away. The interior of the restaurant is much nicer than its surroundings. Ordered the crab meat aglio olio, caesar's salad, beef...ball pasta with fried enoki and Flaming Brew. The flaming brew is only for Instagram purpose, tastes diluted and bland. The cinnamon is too coarse. Ended the meal with a mango supreme which is sponge cake wrapped in mango mousse. The mousse is nice and light, not too sweet. Prices are reasonable.More",3,5f8825d9542b2ed695c60750
11,Wizardry cute,"Harry Potter’s popularity might be waning but the café is still attracting their die-hard fans. As we’re on a high tea trail, we’re all aboard at Platform 1094. At $55 per person, the high tea set is a magical experience with wand-swirling-exciting visual presentation and...gimmicks such as dry ice smoke wisps. There is a fun concoction of sorts – bubbling frog potion (Ok, it’s green tea) on a lit coaster, the cutest selection of Harry Potter themed sweet treats (so ingenious!) and a savoury spread so delectably presented, it’s true wizardry to resist touching any of the items.More",4,5f8825d9542b2ed695c60751
12,Nice little cafe and restaurant with harry potter twist,"Nice and clean harry potter theme cafe at singapore. Food was okay, not special. It was nice to try to potter - costume and take photos. You can acces here by metro and walk about kilometre from station. Pretty easy to find route.",3,5f8825d9542b2ed695c60752
13,All the little touches make it very special.,"We decided to stop in at Platform 1094 on our last day in Singapore, and I wasn’t expecting too much. But oh wow, what a totally charming little place! Filled with Harry Potter decor, costumes (of course we all dressed up), wands, owls and other...props. The kids (and adults) loved all the drinks that came with the dry ice making them all smoke - felt very special! Meals were all delicious and we all thought they were really well priced (a place like that in Australia would no doubt charge twice as much). Our server (Gerard?) was very attentive, very helpful and patient when we needed to split the bill between the group of 8. Will be recommending to anyone I know travelling this way!More",5,5f8825d9542b2ed695c60753
14,Loved the atmosphere and that,"Loved the atmosphere and that we could dress up and take our pics. The food was lovely and fresh. Very reasonably priced. 
We had a very attentive waiter who was very helpful. 
Even if your not a Harry Potter fan the food and desserts are...worth the visit.More",5,5f8825da542b2ed695c60754
15,Magic in the heartlands,"Platform 1094 is a Harry Potter themed cafe located at, well, 1094 Serangoon Road. When you first enter, the decor already looks amazing, and it definitely does not disappoint for the Hogwarts fans.

The dishes were created according to the Harry Potter theme as well,...be it Potions (non-alcoholic drinks) or Poisons (alcoholic drinks), or dishes smartly and aptly named after various scenes in the movie. The food was pretty good, especially the Crab Meat Aglio Olio, which was probably the best of its kind I have tasted so far.

There are also cloaks, scarves, ties, wands and glasses for you to dress up in and take your Muggle shot against the different corners in the cafe that are all Instagram-worthy.

Whether you are a Hogwarts fan or not, this cafe definitely creates a magical experience!More",5,5f8825da542b2ed695c60755
16,Not just a fun experience!,Pleasantly suprised to find the food just as good as the Harry Potter decorations. We just popped in before heading to the airport but the mozzarella sticks and truffle fries are to die for! And the desserts are an experience not to be missed!,4,5f8825da542b2ed695c60756
17,A Magical Experience!,"It’s a small local place that doesn’t look anything special - but the food and serve are really good. Great fun for kids and good quality , home cooked , authentic food . We will be back !",5,5f8825da542b2ed695c60757
18,Quick Dinner,"Popped in with my girlfriend during the ADEX expo in April, the food was nice but was just a little underwhelming. However the staff were very friendly and the cocktails were fun.",4,5f8825da542b2ed695c60758
19,Wow,"Upon arrival the place doesn’t look very pottery but wow the food and drinks. We ordered the afternoon tea, the presentation was amazing and the food tasted lovely too. The cafe has probs so you can dress us if you wish too.",5,5f8825da542b2ed695c60759
20,"If you're a Potterhead, this is a must visit!","I am a fan of Harry Potter so, when I visited Singapore, a lot of my friends suggested me to visit Platform 1094.
And I'm very glad I did!

It's very easy to find and pretty close to Bus Stop B60161. The interior is very...More",5,5f8825dc542b2ed695c6075a
21,Harry Potter fans! ,"My family and I were staying in an airbnb around the corner so Platform 1094 was the closest and only cafe near to us. 
We tried it out for breakfast/brunch. A very good full English breakfast. Proper sausages. Eggs were a little oily and the...More",4,5f8825dc542b2ed695c6075b
22,Cheap processed foods ,"Sad to see a nice place serving such bad food. The menu isn’t properly elaborate. Too much deep fried items . Not enough healthy dishes. If I may give you an advise , reduce your menu and focus on selected dishes that has an identity....More",2,5f8825dc542b2ed695c6075c
23,Quaint little Cafe ,"Came here because we like Harry potter. Some cute decor and good food! Reasonable priced food. Drinks are bit pricey though.
Cery happy with staff initially, but had to wait a while to get served for dessert when the place wasn't that busy.
Still think...More",4,5f8825dc542b2ed695c6075d
24,Harry Potter Themed Cafe Restaurant with Excellent Food,"Love the ribs (their signature), crab pasta and salmon. Interesting drinks too! Absolutely value for money with the food quality given. Cakes are delicious too! It’s a fun cafe to bring kids and a must-visit for any Harry Potter fan!",5,5f8825dc542b2ed695c6075e
25,Not bad at all...,"We chanced upon this little restaurant because we were looking for bunch... and it was just after 11am 🤓.  Got a table quickly and started ordering from the Harry Porter themed menu.  We ordered (Da-Bomb Burger, The Giant Breakfast, The Meat Ball, Crab Pasta) with...More",4,5f8825dc542b2ed695c6075f
26,Interesting thematic cafe,"We were a group of 11 when we went there in December 2018. Quaint little place and the kids loved the costumes and props they could take pictures with. The food was tasty but the variety, very few. Desserts too were interesting and appealing but...More",4,5f8825dc542b2ed695c60760
27,Harry Potter themed cafe,This cafe is awesome especially for Harry Potter fans. A little pricey but worth a visit for the ambience.,5,5f8825dd542b2ed695c60761
28,Great decoration and food,"Loved the theme, everything simple and cute. Worth the visit.
Desserts very beautiful as well.
Food is actually pretty good too, i had the pasta and my friend ate a fish and chips.",5,5f8825dd542b2ed695c60762
29,Come for the magic of yum,"Although they distinctively deny their ties with Harry Potter, this themed restaurant is definitely a must go for HP fans or anyone wanting a decent meal. Platform 1094's flag waves invitingly out onto the street, reminiscent of the four houses at Hogwarts. The postbox is...More",5,5f8825dd542b2ed695c60763
30,"If you're a Potterhead, this is a must visit!","I am a fan of Harry Potter so, when I visited Singapore, a lot of my friends suggested me to visit Platform 1094.
And I'm very glad I did!

It's very easy to find and pretty close to Bus Stop B60161. The interior is very...More",5,5f8825de542b2ed695c60764
31,Harry Potter fans! ,"My family and I were staying in an airbnb around the corner so Platform 1094 was the closest and only cafe near to us. 
We tried it out for breakfast/brunch. A very good full English breakfast. Proper sausages. Eggs were a little oily and the...More",4,5f8825de542b2ed695c60765
32,Cheap processed foods ,"Sad to see a nice place serving such bad food. The menu isn’t properly elaborate. Too much deep fried items . Not enough healthy dishes. If I may give you an advise , reduce your menu and focus on selected dishes that has an identity....More",2,5f8825df542b2ed695c60766
33,Quaint little Cafe ,"Came here because we like Harry potter. Some cute decor and good food! Reasonable priced food. Drinks are bit pricey though.
Cery happy with staff initially, but had to wait a while to get served for dessert when the place wasn't that busy.
Still think...More",4,5f8825df542b2ed695c60767
34,Harry Potter Themed Cafe Restaurant with Excellent Food,"Love the ribs (their signature), crab pasta and salmon. Interesting drinks too! Absolutely value for money with the food quality given. Cakes are delicious too! It’s a fun cafe to bring kids and a must-visit for any Harry Potter fan!",5,5f8825df542b2ed695c60768
35,Not bad at all...,"We chanced upon this little restaurant because we were looking for bunch... and it was just after 11am 🤓.  Got a table quickly and started ordering from the Harry Porter themed menu.  We ordered (Da-Bomb Burger, The Giant Breakfast, The Meat Ball, Crab Pasta) with...More",4,5f8825df542b2ed695c60769
36,Interesting thematic cafe,"We were a group of 11 when we went there in December 2018. Quaint little place and the kids loved the costumes and props they could take pictures with. The food was tasty but the variety, very few. Desserts too were interesting and appealing but...More",4,5f8825df542b2ed695c6076a
37,Harry Potter themed cafe,This cafe is awesome especially for Harry Potter fans. A little pricey but worth a visit for the ambience.,5,5f8825df542b2ed695c6076b
38,Great decoration and food,"Loved the theme, everything simple and cute. Worth the visit.
Desserts very beautiful as well.
Food is actually pretty good too, i had the pasta and my friend ate a fish and chips.",5,5f8825df542b2ed695c6076c
39,Come for the magic of yum,"Although they distinctively deny their ties with Harry Potter, this themed restaurant is definitely a must go for HP fans or anyone wanting a decent meal. Platform 1094's flag waves invitingly out onto the street, reminiscent of the four houses at Hogwarts. The postbox is...More",5,5f8825df542b2ed695c6076d
40,Disappointing,Went there for a friend's birthday surprise and she's a Potterhead but the fact that it took a while for her to realise that we're in a Harry Potter Cafe is actually sad. They could have played music from the HP movie. (It's a suggestion)...More,2,5f8825e0542b2ed695c6076e
41,"Magic, Magic !!!!","Good to see how the chemical works!! They have a good idea for the workshop which takes the background is similiar with Harry Potter theory. 

The food is perfect, especially dessert, we have a chance to try the big cake which was made of chocolate...More",5,5f8825e0542b2ed695c6076f
42,Book your table,"Pasta is the best but restaurant quite small so you should book table
P/s: You can try take pictures with Harry Potter outfit too",4,5f8825e0542b2ed695c60770
43,Fun Harry Potter themed cafe,"First off, it should be noted that this was a Harry Potter THEMED cafe. So you should not expect there to be true Harry Potter props inside. This is a locally owned cafe so they do not have the rights to actual Harry Potter items....More",5,5f8825e0542b2ed695c60771
44,A Decent Harry Potter Cafe in Singapore,"As a Harry Potter fan, I always get excited when I learn of places that feature Harry Potter.  When I visit new places I also try to check if there are Harry Potter Stores / Cafes around.  Last month, I went to Singapore and I...More",3,5f8825e0542b2ed695c60772
45,For Harry Potter fans,If you love Harry Potter you need to visit this cute little cafe which serves wizardry food and drinks. My teenage sons loved the fire drink and the dress up props were a bonus 😍 it’s a little out from the city but we all...More,5,5f8825e0542b2ed695c60773
46,Not Entirely Intrigued,Small cafe. Food and drinks were average. Should try the spam fries which were good. Offers outfits to dress up as a character.,3,5f8825e0542b2ed695c60774
47,Not Particularly Enchanting,Some reviews claim this is a must for Potterheads.  I'm not sure why as it doesn't seem that a particular amount of forethought has gone into the decor of this Potter inspired restaurant.  We went for brunch of a Saturday.  The food was very good....More,3,5f8825e0542b2ed695c60775
48,Potter’s fans!,"It is a cute place with Harry Potter’s theme. I came here, surely for the “magic” drinks, which costed $15. but it was worth it. 
u can costume urself with the attributes.
I got there by bus and continued walking for abt 3mins from the...More",4,5f8825e0542b2ed695c60776
49,A must for potterheads!,"I found this on facebook before my trip to Singapore and it's one of the things I wanted to go to before the end of my trip. I had the cocktail called ""flaming brew"" which is not only presented good but actually and surprisingly tastes...More",4,5f8825e1542b2ed695c60777
50,Disappointing,Went there for a friend's birthday surprise and she's a Potterhead but the fact that it took a while for her to realise that we're in a Harry Potter Cafe is actually sad. They could have played music from the HP movie. (It's a suggestion)...More,2,5f8825e3542b2ed695c60778
51,"Magic, Magic !!!!","Good to see how the chemical works!! They have a good idea for the workshop which takes the background is similiar with Harry Potter theory. 

The food is perfect, especially dessert, we have a chance to try the big cake which was made of chocolate...More",5,5f8825e3542b2ed695c60779
52,Book your table,"Pasta is the best but restaurant quite small so you should book table
P/s: You can try take pictures with Harry Potter outfit too",4,5f8825e3542b2ed695c6077a
53,Fun Harry Potter themed cafe,"First off, it should be noted that this was a Harry Potter THEMED cafe. So you should not expect there to be true Harry Potter props inside. This is a locally owned cafe so they do not have the rights to actual Harry Potter items....More",5,5f8825e3542b2ed695c6077b
54,A Decent Harry Potter Cafe in Singapore,"As a Harry Potter fan, I always get excited when I learn of places that feature Harry Potter.  When I visit new places I also try to check if there are Harry Potter Stores / Cafes around.  Last month, I went to Singapore and I...More",3,5f8825e3542b2ed695c6077c
55,For Harry Potter fans,If you love Harry Potter you need to visit this cute little cafe which serves wizardry food and drinks. My teenage sons loved the fire drink and the dress up props were a bonus 😍 it’s a little out from the city but we all...More,5,5f8825e3542b2ed695c6077d
56,Not Entirely Intrigued,Small cafe. Food and drinks were average. Should try the spam fries which were good. Offers outfits to dress up as a character.,3,5f8825e3542b2ed695c6077e
57,Not Particularly Enchanting,Some reviews claim this is a must for Potterheads.  I'm not sure why as it doesn't seem that a particular amount of forethought has gone into the decor of this Potter inspired restaurant.  We went for brunch of a Saturday.  The food was very good....More,3,5f8825e3542b2ed695c6077f
58,Potter’s fans!,"It is a cute place with Harry Potter’s theme. I came here, surely for the “magic” drinks, which costed $15. but it was worth it. 
u can costume urself with the attributes.
I got there by bus and continued walking for abt 3mins from the...More",4,5f8825e3542b2ed695c60780
59,A must for potterheads!,"I found this on facebook before my trip to Singapore and it's one of the things I wanted to go to before the end of my trip. I had the cocktail called ""flaming brew"" which is not only presented good but actually and surprisingly tastes...More",4,5f8825e3542b2ed695c60781
60,It's not just for kids,"A Harry Potter themed restaurant with really good food. No doubt restricted by copyright they none the less put a small spin on the theme, cloaks, hats, wands, ties etc. on a rack in the corner to put both adults and children into the mood....More",4,5f8825e5542b2ed695c60782
61,"Great Decor, Food Good","I am a huge Harry Potter fan so I thoroughly enjoyed this place, this decor was amazing and is a great place for Instagram photos. They supply robes, ties, scarves, ect. so you can dress up and take photos. Staff are friendly. Flaming drink is...More",5,5f8825e5542b2ed695c60783
62,Specially for Harry Potter's fans,We reached there around 12pm..so we get seated once we reached..they started to queue up around 12:30pm..so it's lucky that we reach early..there's not much seats in the restaurant..can fit in around 30-40 pax..and there is some tables outside the restaurant.. and because of the...More,4,5f8825e5542b2ed695c60784
63,Amazing,"Amist the monotony of the day-to-day grind, we all crave a little magic in our lives. Fntasy seies like Harry Potter and Lord Of The Rings have remained long-standing favourites throughout the years-they help us escape to a whole nes dimension. 

Discovering magic-inspired cafe Platform...More",5,5f8825e5542b2ed695c60785
64,Fun for family,I had read about this place on Facebook and as I love Harry Potter convinced my partner let's try it. We got there by MRT it was not hard. Now it was a quick decision to go here and we unfortunately had not booked. We...More,4,5f8825e5542b2ed695c60786
65,Instagram worthy but average food taste,"Had high expectation of the place as it had some visually enticing photos that can be found on Instagram. Checked the place out, and was a bit disappointed as it was quite small and the restroom is located outside the restaurant, the ambiance gives you...More",3,5f8825e5542b2ed695c60787
66,If you are a Wizardy fan - Food is OK and service is Good,"Hi, if you like Harry Potter movies, you should at least give this cafe/restaurant a try once.  The children should love it, but as an adult, you probably have to be a die-hard fan to feel immersed in the wizardy atmosphere since there arent that...More",4,5f8825e5542b2ed695c60788
67,Instaworthy place but average food,"Yummy finger food but average mains, pricey too. it was interesting to have a place for harry potter team. Many interesting props available for photo taking.",4,5f8825e5542b2ed695c60789
68,Instagram worthy but food is average ,"The price is on the high side. But it's a fun place to go with friends. A lot of props for photo taking. However, probably just visit for experience and LOTS of photos!",3,5f8825e5542b2ed695c6078a
69,Good food & drinks,"Dinner was awesome!  The presentation of The Goblet of Fire drink was so fun to watch.  All the kiddos in the group got to try making the ""fire"" which they enjoyed.  They also enjoyed dressing up in the Harry Potter costumes.  The duck & ribs...More",5,5f8825e5542b2ed695c6078b
70,It's not just for kids,"A Harry Potter themed restaurant with really good food. No doubt restricted by copyright they none the less put a small spin on the theme, cloaks, hats, wands, ties etc. on a rack in the corner to put both adults and children into the mood....More",4,5f8825e8542b2ed695c6078c
71,"Great Decor, Food Good","I am a huge Harry Potter fan so I thoroughly enjoyed this place, this decor was amazing and is a great place for Instagram photos. They supply robes, ties, scarves, ect. so you can dress up and take photos. Staff are friendly. Flaming drink is...More",5,5f8825e8542b2ed695c6078d
72,Specially for Harry Potter's fans,We reached there around 12pm..so we get seated once we reached..they started to queue up around 12:30pm..so it's lucky that we reach early..there's not much seats in the restaurant..can fit in around 30-40 pax..and there is some tables outside the restaurant.. and because of the...More,4,5f8825e8542b2ed695c6078e
73,Amazing,"Amist the monotony of the day-to-day grind, we all crave a little magic in our lives. Fntasy seies like Harry Potter and Lord Of The Rings have remained long-standing favourites throughout the years-they help us escape to a whole nes dimension. 

Discovering magic-inspired cafe Platform...More",5,5f8825e8542b2ed695c6078f
74,Fun for family,I had read about this place on Facebook and as I love Harry Potter convinced my partner let's try it. We got there by MRT it was not hard. Now it was a quick decision to go here and we unfortunately had not booked. We...More,4,5f8825e8542b2ed695c60790
75,Instagram worthy but average food taste,"Had high expectation of the place as it had some visually enticing photos that can be found on Instagram. Checked the place out, and was a bit disappointed as it was quite small and the restroom is located outside the restaurant, the ambiance gives you...More",3,5f8825e8542b2ed695c60791
76,If you are a Wizardy fan - Food is OK and service is Good,"Hi, if you like Harry Potter movies, you should at least give this cafe/restaurant a try once.  The children should love it, but as an adult, you probably have to be a die-hard fan to feel immersed in the wizardy atmosphere since there arent that...More",4,5f8825e8542b2ed695c60792
77,Instaworthy place but average food,"Yummy finger food but average mains, pricey too. it was interesting to have a place for harry potter team. Many interesting props available for photo taking.",4,5f8825e8542b2ed695c60793
78,Instagram worthy but food is average ,"The price is on the high side. But it's a fun place to go with friends. A lot of props for photo taking. However, probably just visit for experience and LOTS of photos!",3,5f8825e8542b2ed695c60794
79,Good food & drinks,"Dinner was awesome!  The presentation of The Goblet of Fire drink was so fun to watch.  All the kiddos in the group got to try making the ""fire"" which they enjoyed.  They also enjoyed dressing up in the Harry Potter costumes.  The duck & ribs...More",5,5f8825e8542b2ed695c60795
80,Disappointing,"Came here with high expectations and felt sorely let down. The place doesn’t seem at all like it is described. It looks like any regular café. The menu leaves nothing to be desired. Wanted to have dinner, but ended up having drinks only. The goblet...More",2,5f8825ea542b2ed695c60796
81,Place too small,"The place is too small and quite hard to find. The food is quite expensive but yummy. 

Harry potter fans love the place as they kept on having pictures with robes and wands etc.",3,5f8825ea542b2ed695c60797
82,Disappointed,"The food was not too bad but the space is too small.  The pasta that I've ordered is too dry but the taste is ok.  

There're customer that are taking pictures but they'll be disturbing other customers as the space for them to take pictures...More",3,5f8825ea542b2ed695c60798
83,Need more space ,"For HP fans, here is a nice place to visit and enjoy the food

Serving and portion is nice. Worth the price. Many suprising drinks related to wizardy world that you can try

Only problem is the joint is too small. The wait is too...More",5,5f8825ea542b2ed695c60799
84,Food was not bad!,"Our kids are Potter fans & was very excited to try out this magic themed cafe. I wasn't expecting much & although I'd still tell you not to either, I'd say they've got their fundamentals right; food was good!  We had their chicken salad with...More",4,5f8825ea542b2ed695c6079a
85,"Near boon Keng mrt, walk for around 10mins from BK mrt station","Food was awesome! Affordable price too.. love the Harry potter/wizard theme ! There are lots of Wands witch hat, cape owls to borrow and take picture with.. notice the staff is all guys too hahaa.. lovely place !",4,5f8825ea542b2ed695c6079b
86,A must for HP Fans,"This place is a must visit whilst in Singapore, the food was amazing and plated extremely well. 
Cocktails some of the best I've ever tasted.
Staff were friendly and helpful only thing I could complain about would be that my meal was finished and i...More",4,5f8825ea542b2ed695c6079c
87,Only for the Harry Potter experience,Platform 1094 is a must visit place for all Harry Potter fans. The much hyped Goblet of Fire didn't taste that great. The service and food is just fine but expensive. The ambience is great and one can try all the props that are kept...More,3,5f8825eb542b2ed695c6079d
88,Good ambiance but pricey,"It was good experice, i was curious about goblet of fire drink. The ambiance is nice, not too far from bus station, i waited for 5 minutes to get a seat, the staff was really nice. They have a magic wand, robes and other Harry...More",4,5f8825eb542b2ed695c6079e
89,Great Place!,"We loved this place. I had the duck which was divine, and my partner had the crab linguine which he also really enjoyed. To drink we had the goblet of fire (although I can't remember the name of it on the menu - it was...More",5,5f8825eb542b2ed695c6079f
90,Disappointing,"Came here with high expectations and felt sorely let down. The place doesn’t seem at all like it is described. It looks like any regular café. The menu leaves nothing to be desired. Wanted to have dinner, but ended up having drinks only. The goblet...More",2,5f8825ed542b2ed695c607a0
91,Place too small,"The place is too small and quite hard to find. The food is quite expensive but yummy. 

Harry potter fans love the place as they kept on having pictures with robes and wands etc.",3,5f8825ed542b2ed695c607a1
92,Disappointed,"The food was not too bad but the space is too small.  The pasta that I've ordered is too dry but the taste is ok.  

There're customer that are taking pictures but they'll be disturbing other customers as the space for them to take pictures...More",3,5f8825ed542b2ed695c607a2
93,Need more space ,"For HP fans, here is a nice place to visit and enjoy the food

Serving and portion is nice. Worth the price. Many suprising drinks related to wizardy world that you can try

Only problem is the joint is too small. The wait is too...More",5,5f8825ed542b2ed695c607a3
94,Food was not bad!,"Our kids are Potter fans & was very excited to try out this magic themed cafe. I wasn't expecting much & although I'd still tell you not to either, I'd say they've got their fundamentals right; food was good!  We had their chicken salad with...More",4,5f8825ed542b2ed695c607a4
95,"Near boon Keng mrt, walk for around 10mins from BK mrt station","Food was awesome! Affordable price too.. love the Harry potter/wizard theme ! There are lots of Wands witch hat, cape owls to borrow and take picture with.. notice the staff is all guys too hahaa.. lovely place !",4,5f8825ed542b2ed695c607a5
96,A must for HP Fans,"This place is a must visit whilst in Singapore, the food was amazing and plated extremely well. 
Cocktails some of the best I've ever tasted.
Staff were friendly and helpful only thing I could complain about would be that my meal was finished and i...More",4,5f8825ed542b2ed695c607a6
97,Only for the Harry Potter experience,Platform 1094 is a must visit place for all Harry Potter fans. The much hyped Goblet of Fire didn't taste that great. The service and food is just fine but expensive. The ambience is great and one can try all the props that are kept...More,3,5f8825ed542b2ed695c607a7
98,Good ambiance but pricey,"It was good experice, i was curious about goblet of fire drink. The ambiance is nice, not too far from bus station, i waited for 5 minutes to get a seat, the staff was really nice. They have a magic wand, robes and other Harry...More",4,5f8825ed542b2ed695c607a8
99,Great Place!,"We loved this place. I had the duck which was divine, and my partner had the crab linguine which he also really enjoyed. To drink we had the goblet of fire (although I can't remember the name of it on the menu - it was...More",5,5f8825ed542b2ed695c607a9
100,It was okay,"The accessories are good, but the food are not for budget travelers and i was expecting more of the vibes. But it was okay. And the food also okay.",3,5f8825f0542b2ed695c607aa
101,Try for novelty ,"Some concept bistro restaurant for novelty..
Food menu not very extensive.
Gets pretty crowded as the restaurant is small.
I won't queue for it....",3,5f8825f0542b2ed695c607ab
102,Overrated and not outstanding,"Blog reviews online make this place look better than it actually is. The food and drinks are average, including the signature flaming potion which tastes very ordinary for a $15 cocktail. The flames are weak and not spectacular in reality. Decor and theme is nice...More",3,5f8825f0542b2ed695c607ac
103,"Great Idea, Nice Food & Drinks, but could be better...","I was unable to get a reservation for the time I was in Singapore. (Recommend having one and book months in advance...) I was really lucky that I was able to tag along with a really lovely Norwegian family who had a reservation, as they...More",3,5f8825f0542b2ed695c607ad
104,Better than expected,"I looked for this place due to the hype. Most of the hypes I went before were really cringeworthy, but Platform 1094 can deliver what is expected from them. Great concept, interesting cocktails, nice food, great staff and awesome coffees. Even without those wizard hats,...More",5,5f8825f0542b2ed695c607ae
105,Average food but interesting deco,"We went during lunch but was disappointed that desserts were only available after 3pm.
The food was not impressive, duck was tough, burger was average etc. The drinks were fun but taste was not as good as the looks. 
I hope the restaurant would improve...More",3,5f8825f0542b2ed695c607af
106,Not a bad experience,"We reserved a table so we didn't have to wait to get a table, there were lines forming when we left though so I would recommend booking if you can. It's about a 10 min walk from the MRT straight down the road as well...More",3,5f8825f0542b2ed695c607b0
107,Over rated review,Visit the highly anticipated harry potter cafe with my family.. Not surprised to find a long q and have to wait for more than 1.5hrs.. I am ok with wait consider it is weekend.. We only managed to get a seat outside the resturant after...More,3,5f8825f0542b2ed695c607b1
108,Not Impressive ,"Location : good parking available near by

Environment : The ambience of the place is nice. The place is inspired by Harry Potter. But that is about it.

The Menu: I patronised the place on a weekend. And I must say i wasn't impressed. It...More",3,5f8825f0542b2ed695c607b2
109,Wizards Domain,"You can pretty much guess where the inspiration for Platform 1094, a wizardry-themed restaurant nestled in the corners of 1094 Serangoon Road. Just try to resist shouting ""abracadabra"" upon stepping into the magic-inspired cafe!
From its decor and ambience to its food and beverages, Platform...More",4,5f8825f0542b2ed695c607b3
110,It was okay,"The accessories are good, but the food are not for budget travelers and i was expecting more of the vibes. But it was okay. And the food also okay.",3,5f8825f2542b2ed695c607b4
111,Try for novelty ,"Some concept bistro restaurant for novelty..
Food menu not very extensive.
Gets pretty crowded as the restaurant is small.
I won't queue for it....",3,5f8825f2542b2ed695c607b5
112,Overrated and not outstanding,"Blog reviews online make this place look better than it actually is. The food and drinks are average, including the signature flaming potion which tastes very ordinary for a $15 cocktail. The flames are weak and not spectacular in reality. Decor and theme is nice...More",3,5f8825f2542b2ed695c607b6
113,"Great Idea, Nice Food & Drinks, but could be better...","I was unable to get a reservation for the time I was in Singapore. (Recommend having one and book months in advance...) I was really lucky that I was able to tag along with a really lovely Norwegian family who had a reservation, as they...More",3,5f8825f2542b2ed695c607b7
114,Better than expected,"I looked for this place due to the hype. Most of the hypes I went before were really cringeworthy, but Platform 1094 can deliver what is expected from them. Great concept, interesting cocktails, nice food, great staff and awesome coffees. Even without those wizard hats,...More",5,5f8825f2542b2ed695c607b8
115,Average food but interesting deco,"We went during lunch but was disappointed that desserts were only available after 3pm.
The food was not impressive, duck was tough, burger was average etc. The drinks were fun but taste was not as good as the looks. 
I hope the restaurant would improve...More",3,5f8825f2542b2ed695c607b9
